,User,CouponCode,Category,SubCategory,Type,Company,Redeemed,CouponDiscount,AmountSpent,Clicked,TimeStamp
0,56-0091631,TRAV-RAI-MRD-20,TRAVEL,RAILLWAY,TRAM,MRDC,1,20,7650,1,2020-06-11 09:42:47
1,02-4249692,FOBV-SOF-PEP-10,FOOD_BEVERAGES,SOFTDRINKS,ORANGE,PEPSI,0,10,400,0,2020-11-20 09:44:12
2,65-2001459,ENTE-CON-PVR-20,ENTERTAINMENT,CONCERTS,CLASICAL,PVR,0,20,1400,0,2019-04-08 18:24:59
3,11-7431965,ELEC-BIG-HIT-40,ELECTRONIC,BIGAPPLIANCES,FRIDGE,HITACHI,0,40,4800,1,2018-05-22 18:19:20
4,18-7877751,ENTE-SPO-IND-5,ENTERTAINMENT,SPORTS,CRICKET,INDIA,0,5,250,0,2019-09-21 04:13:20
5,35-8630487,ELEC-BIG-HIT-30,ELECTRONIC,BIGAPPLIANCES,FRIDGE,HITACHI,1,30,3550,1,2021-12-18 16:11:05
6,54-8672727,TRAV-RAI-IND-40,TRAVEL,RAILLWAY,DAILYTRAIN,INDIANRAIL,0,40,42200,1,2021-01-14 20:00:29
7,44-1055676,ELEC-MIN-BOS-20,ELECTRONIC,MINIAPPLIANCES,EARPHONE,BOSE,1,20,1700,0,2020-03-15 20:02:43
8,52-6517926,ELEC-BIG-SON-20,ELECTRONIC,BIGAPPLIANCES,TV,SONY,1,20,2500,0,2021-03-09 01:49:49
9,57-1289116,TRAV-RAI-BOO-50,TRAVEL,RAILLWAY,TRAM,BOOKMYTRIP,0,50,49650,1,2019-12-11 05:00:07
10,03-8059887,FOBV-FAS-CHE-10,FOOD_BEVERAGES,FASTFOOD,PIZZA,CHEEZILA,1,10,300,1,2020-06-26 06:00:40
11,87-2415294,REAP-COS-LAC-10,RETAIL_APPAREL,COSMETICS,CREAM,LAC,1,10,500,1,2021-10-22 02:59:37
12,30-2757266,TRAV-ROA-BOO-40,TRAVEL,ROAD,BUS,BOOKMYTRIP,1,40,33750,0,2018-02-07 19:45:26
13,72-3682223,ENTE-EVE-IEE-15,ENTERTAINMENT,EVENTS,TECHCONFERENCE,IEEE,1,15,950,0,2020-06-08 19:27:34
14,06-2968966,REAP-ACC-MAD-10,RETAIL_APPAREL,ACCESSORIES,SHOES,MADISSON,1,10,650,1,2019-03-09 23:57:13
15,14-1388389,FOBV-CON-CAF-10,FOOD_BEVERAGES,CONTINENTAL,EUROPEAN,CAFEBLEU,0,10,350,1,2020-12-18 08:23:14
16,66-7708733,REAP-ACC-CLA-20,RETAIL_APPAREL,ACCESSORIES,SHOES,CLARKS,1,20,1100,1,2019-09-07 15:24:51
17,57-0617656,ELEC-BIG-SAM-40,ELECTRONIC,BIGAPPLIANCES,MICROWAVE,SAMSUNG,1,40,4900,0,2021-12-27 17:10:16
18,20-7643191,TRAV-ROA-UBE-20,TRAVEL,ROAD,VEHICLE,UBER,0,20,11500,0,2021-02-27 10:04:10
19,82-2938069,FOBV-ALC-KIN-20,FOOD_BEVERAGES,ALCOHOL,BEER,KINGFISHER,0,20,700,1,2021-06-02 11:41:52
20,01-6418702,TRAV-ROA-UBE-30,TRAVEL,ROAD,VEHICLE,UBER,1,30,16100,1,2020-01-18 09:38:59
21,50-8788434,ELEC-MIN-JBL-20,ELECTRONIC,MINIAPPLIANCES,EARPHONE,JBL,0,20,1850,1,2019-10-30 17:19:16
